OBJECTID,type,Shape__Area,Shape__Length
1,Heat Perimeter,1182.08203125,267.101144044143
2,Heat Perimeter,2222.48828125,185.498782692114
3,Heat Perimeter,21.01171875,22.4128140267787
4,Heat Perimeter,214.9921875,76.6391800381001
5,Heat Perimeter,44203.453125,1569.25976368244
6,Heat Perimeter,37.34375,25.0612940609827
7,Heat Perimeter,118.35546875,46.890359615951
8,Heat Perimeter,16.8671875,16.8602865199567
9,Heat Perimeter,1766.30078125,264.850402102184
10,Heat Perimeter,79397.94921875,2620.51574268562
11,Heat Perimeter,22.0703125,21.6809354307797
12,Heat Perimeter,43.58203125,26.7507067524385
13,Heat Perimeter,9.9609375,14.600921211206
14,Heat Perimeter,2114.51953125,192.800226129512
15,Heat Perimeter,336.6484375,70.0354120571274
16,Heat Perimeter,4423.09375,302.598896796665
17,Heat Perimeter,209.171875,56.7457309835665
18,Heat Perimeter,472.6328125,88.3900669413606
19,Heat Perimeter,2762.046875,215.68927130886
20,Heat Perimeter,114.98828125,41.8449248621118
24,Heat Perimeter,142068807.625,105530.363538026
