Site_ID,Landcover,SoilSig_Presence,JumpingWorm_Presence,Pour1_Density,Pour2_Density,Pour3_Density,Pour1_EuropeanEarthworm_Presence,Pour2_EuropeanEarthworm_Presence,Pour3_EuropeanEarthworm_Presence,Abundance_Tok,Abundance_Agr,Abundance_unk,Abundance_Mh
F1,Forest,NO,NO,0,0,0,NO,NO,NO,,,,
F10,Forest,NO,NO,0,0,0,NO,YES,NO,,,,
F12,Forest,NO,NO,0,0,0,NO,YES,YES,,,,
F13,Forest,NO,NO,0,0,0,NO,YES,NO,,,,
F14,Forest,NO,NO,0,0,0,YES,YES,YES,,,,
F15,Forest,NO,NO,0,0,0,YES,YES,YES,,,,
F17,Forest,NO,NO,0,0,0,NO,NO,YES,,,,
F18,Forest,NO,NO,0,0,0,NO,NO,NO,,,,
F19,Forest,NO,NO,0,0,0,NO,NO,NO,,,,
F2,Forest,NO,NO,0,0,0,NO,NO,NO,,,,
F20,Forest,NO,NO,0,0,0, NO,NO,NO,,,,
F3,Forest,NO,NO,0,0,0,NO,NO,NO,,,,
F5,Forest,YES,YES,20,16,24,NO,NO,NO,8,12,37,0
F7,Forest,YES,YES,2,1,18,NO,NO,NO,9,2,10,0
F8,Forest,YES,YES,6,6,6,NO,NO,NO,2,3,18,0
F9,Forest,YES,YES,3,2,6,NO,NO,NO,1,2,6,0
G1,Grassland,NO,NO,0,0,0,YES,YES,NO,,,,
G11,Grassland,NO,NO,0,0,0,NO,NO,NO,,,,
G12,Grassland,NO,NO,0,0,0,NO,NO,NO,,,,
G14,Grassland,NO,NO,0,0,0,NO,NO,YES,,,,
G15,Grassland,NO,NO,0,0,0,YES,YES,YES,,,,
G16,Grassland,NO,NO,0,0,0,NO,NO,NO,,,,
G18,Grassland,NO,NO,0,0,0,NO,NO,NO,,,,
G19,Grassland,NO,NO,0,0,0,NO,NO,NO,,,,
G2,Grassland,NO,NO,0,0,0,NO,YES,NO,,,,
G20,Grassland,NO,NO,0,0,0,NO,NO,NO,,,,
G4,Grassland,NO,NO,0,0,0,NO,NO,NO,,,,
G5,Grassland,NO,NO,0,0,0,NO,NO,NO,,,,
G6,Grassland,NO,NO,0,0,0,YES,NO,NO,,,,
G7,Grassland,NO,NO,0,0,0,NO,NO,NO,,,,
G8,Grassland,NO,NO,0,0,0,YES,NO,NO,,,,
G9,Grassland,NO,NO,0,0,0,YES,NO,YES,,,,
O1,Open Space,NO,NO,0,0,0,YES,YES,YES,,,,
O10,Open Space,NO,NO,0,0,0,NO,YES,NO,,,,
